Airline,Date_of_Journey,Source,Destination,Route,Stop 1,Stop 2,Stop 3,Stop 4,Dep_Time,Arrival_Details,Arrival_Date,Arrival_Time,No_of_Days,Duration_hour,Duration_minute,Total_Stops,Additional_Info,Price,Price_Bucket
Multiple carriers,15-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,8:45,19:15,15-05-2019,7:15 PM,0,10,30,1,No info,8266,LOW
IndiGo,06-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:10,10:05,06-05-2019,10:05 AM,0,2,55,0,No info,4823,LOW
Air India,21-05-2019,Delhi,Cochin,DEL?COK,NoSTOP,NoSTOP,NoSTOP,NoSTOP,18:05,21:10,21-05-2019,9:10 PM,0,3,5,0,No info,6094,LOW
Jet Airways,24-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,21:10,25-05-2019 4:40,25-5-2019,4:40 AM,0,7,30,1,No info,14178,MEDIUM
Jet Airways,09-06-2019,Delhi,Cochin,DEL?NAG?BOM?COK,NAG,BOM,NoSTOP,NoSTOP,6:45,10-06-2019 12:35,10-6-2019,12:35 PM,1,29,50,2,No info,13376,MEDIUM
Air India,24-03-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,21:05,22:25,24-03-2019,10:25 PM,0,1,20,0,No info,2575,LOW
Vistara,06-03-2019,Mumbai,Hyderabad,BOM?DEL?HYD,DEL,NoSTOP,NoSTOP,NoSTOP,7:30,19:55,06-03-2019,7:55 PM,0,12,25,1,No info,12395,MEDIUM
IndiGo,27-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,9:10,21:00,27-03-2019,9:00 PM,0,11,50,1,No info,10351,MEDIUM
Air Asia,21-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,7:35,23:30,21-05-2019,11:30 PM,0,15,55,1,No info,5192,LOW
Multiple carriers,15-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,12:50,21:00,15-05-2019,9:00 PM,0,8,10,1,No info,7670,LOW
Air India,18-03-2019,Banglore,New Delhi,BLR?CCU?GAU?DEL,CCU,GAU,NoSTOP,NoSTOP,11:05,16-03-2019 22:10,16-3-2019,10:10 PM,1,35,5,2,No info,11161,MEDIUM
Jet Airways,24-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,20:25,25-05-2019 18:00,25-5-2019,6:00 PM,0,21,35,1,No info,14151,MEDIUM
IndiGo,06-05-2019,Kolkata,Banglore,CCU?HYD?BLR,HYD,NoSTOP,NoSTOP,NoSTOP,15:15,20:05,06-05-2019,8:05 PM,0,4,50,1,No info,4775,LOW
Air India,06-03-2019,Delhi,Cochin,DEL?HYD?MAA?COK,HYD,MAA,NoSTOP,NoSTOP,13:05,07-03-2019 9:25,7-3-2019,9:25 AM,0,20,20,2,No info,12865,MEDIUM
Air India,06-03-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,19:30,20:45,06-03-2019,8:45 PM,0,1,15,0,No info,5462,LOW
SpiceJet,09-03-2019,Delhi,Cochin,DEL?MAA?COK,MAA,NoSTOP,NoSTOP,NoSTOP,6:10,11:20,09-03-2019,11:20 AM,0,5,10,1,No info,8382,LOW
Jet Airways,24-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,17:45,20:45,24-04-2019,8:45 PM,0,3,0,0,In-flight meal not included,4544,LOW
Jet Airways,01-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:15,18:10,01-04-2019,6:10 PM,0,2,55,0,In-flight meal not included,4544,LOW
Jet Airways,18-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,16:30,23:35,18-05-2019,11:35 PM,0,7,5,1,No info,14781,MEDIUM
SpiceJet,27-05-2019,Delhi,Cochin,DEL?PNQ?COK,PNQ,NoSTOP,NoSTOP,NoSTOP,8:45,13:15,27-05-2019,1:15 PM,0,4,30,1,No check-in baggage included,5158,LOW
Jet Airways,21-03-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:50,17:20,21-03-2019,5:20 PM,0,1,30,0,No info,5678,LOW
Jet Airways,09-06-2019,Delhi,Cochin,DEL?JDH?BOM?COK,JDH,BOM,NoSTOP,NoSTOP,11:40,19:00,09-06-2019,7:00 PM,0,7,20,2,No info,18804,HIGH
IndiGo,03-06-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,9:10,10:40,03-06-2019,10:40 AM,0,1,30,0,No info,4049,LOW
IndiGo,24-03-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,10:10,12:55,24-03-2019,12:55 PM,0,2,45,0,No info,6565,LOW
Jet Airways,18-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,18:15,19-05-2019 12:35,19-5-2019,12:35 PM,0,18,20,1,In-flight meal not included,12373,MEDIUM
Air India,18-03-2019,Banglore,New Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,17:00,19:45,18-03-2019,7:45 PM,0,2,45,0,No info,4441,LOW
SpiceJet,18-05-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,17:45,20:05,18-05-2019,8:05 PM,0,2,20,0,No info,3597,LOW
Jet Airways,18-06-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,19:35,21:05,18-06-2019,9:05 PM,0,1,30,0,No info,5678,LOW
Air India,09-03-2019,Delhi,Cochin,DEL?HYD?MAA?COK,HYD,MAA,NoSTOP,NoSTOP,9:45,10-03-2019 9:25,10-3-2019,9:25 AM,0,23,40,2,No info,10660,MEDIUM
Jet Airways,21-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,6:00,8:45,21-04-2019,8:45 AM,0,2,45,0,In-flight meal not included,4544,LOW
IndiGo,24-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,8:30,11:20,24-05-2019,11:20 AM,0,2,50,0,No info,4823,LOW
Air India,09-05-2019,Kolkata,Banglore,CCU?VNS?DEL?BLR,VNS,DEL,NoSTOP,NoSTOP,14:30,23:15,09-05-2019,11:15 PM,0,8,45,2,No info,14214,MEDIUM
Jet Airways,01-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,8:25,16:20,01-05-2019,4:20 PM,0,7,55,1,No info,14781,MEDIUM
Multiple carriers,01-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,19:00,02-03-2019 1:35,2-3-2019,1:35 AM,0,6,35,1,No info,23533,VERY HIGH
Jet Airways,09-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,19:15,10-03-2019 18:50,10-3-2019,6:50 PM,0,23,35,1,In-flight meal not included,14053,MEDIUM
Jet Airways,27-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,21:50,28-06-2019 19:00,28-6-2019,7:00 PM,0,21,10,1,In-flight meal not included,10262,MEDIUM
IndiGo,21-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,20:00,22:50,21-06-2019,10:50 PM,0,2,50,0,No info,4823,LOW
Air India,18-05-2019,Delhi,Cochin,DEL?BLR?COK,BLR,NoSTOP,NoSTOP,NoSTOP,17:40,19-05-2019 8:15,19-5-2019,8:15 AM,0,14,35,1,No info,8361,LOW
Air India,09-06-2019,Delhi,Cochin,DEL?NAG?BOM?COK,NAG,BOM,NoSTOP,NoSTOP,5:55,10-06-2019 19:15,10-6-2019,7:15 PM,1,37,20,2,No info,10493,MEDIUM
Multiple carriers,03-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:05,13:20,03-03-2019,1:20 PM,0,6,15,1,No info,17057,HIGH
Air India,18-05-2019,Delhi,Cochin,DEL?HYD?BOM?COK,HYD,BOM,NoSTOP,NoSTOP,17:15,19-05-2019 19:15,19-5-2019,7:15 PM,1,26,0,2,No info,12392,MEDIUM
IndiGo,12-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,11:25,13-06-2019 1:30,13-6-2019,1:30 AM,0,14,5,1,No info,5883,LOW
Jet Airways,21-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,11:30,19:00,21-05-2019,7:00 PM,0,7,30,1,In-flight meal not included,12898,MEDIUM
Jet Airways,21-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,2:15,19:00,21-05-2019,7:00 PM,0,16,45,1,No info,16079,HIGH
Multiple carriers,12-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,4:55,12:35,12-06-2019,12:35 PM,0,7,40,1,No info,10678,MEDIUM
Air India,01-03-2019,Banglore,New Delhi,BLR?BOM?IDR?DEL,BOM,IDR,NoSTOP,NoSTOP,6:45,02-03-2019 11:10,2-3-2019,11:10 AM,1,28,25,2,No info,20999,VERY HIGH
IndiGo,21-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,19:35,19-03-2019 0:35,19-3-2019,12:35 AM,0,5,0,1,No info,6575,LOW
Jet Airways,21-05-2019,Delhi,Cochin,DEL?JAI?BOM?COK,JAI,BOM,NoSTOP,NoSTOP,19:30,22-05-2019 4:25,22-5-2019,4:25 AM,0,8,55,2,No info,15129,HIGH
Jet Airways,06-06-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,18:55,07-06-2019 18:15,7-6-2019,6:15 PM,0,23,20,1,In-flight meal not included,10844,MEDIUM
Air India,03-03-2019,Banglore,New Delhi,BLR?BBI?DEL,BBI,NoSTOP,NoSTOP,NoSTOP,9:30,23:45,03-03-2019,11:45 PM,0,14,15,1,No info,11654,MEDIUM
IndiGo,01-04-2019,Kolkata,Banglore,CCU?MAA?BLR,MAA,NoSTOP,NoSTOP,NoSTOP,8:10,13:00,01-04-2019,1:00 PM,0,4,50,1,No info,5069,LOW
Air India,01-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,6:10,8:55,01-04-2019,8:55 AM,0,2,45,0,No info,5176,LOW
Jet Airways,09-06-2019,Delhi,Cochin,DEL?IDR?BOM?COK,IDR,BOM,NoSTOP,NoSTOP,5:30,10-06-2019 4:25,10-6-2019,4:25 AM,0,22,55,2,No info,13292,MEDIUM
IndiGo,06-06-2019,Delhi,Cochin,DEL?BLR?COK,BLR,NoSTOP,NoSTOP,NoSTOP,2:00,7:45,06-06-2019,7:45 AM,0,5,45,1,No info,6386,LOW
Jet Airways,21-05-2019,Delhi,Cochin,DEL?AMD?BOM?COK,AMD,BOM,NoSTOP,NoSTOP,13:25,22-05-2019 19:00,22-5-2019,7:00 PM,1,29,35,2,No info,15129,HIGH
Air India,06-03-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,20:45,23:20,06-03-2019,11:20 PM,0,2,35,0,No info,4435,LOW
IndiGo,18-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,23:30,19-05-2019 2:20,19-5-2019,2:20 AM,0,2,50,0,No info,4591,LOW
Jet Airways,21-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,5:45,23:00,21-03-2019,11:00 PM,0,17,15,1,In-flight meal not included,7832,LOW
IndiGo,12-04-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,4:40,7:15,12-04-2019,7:15 AM,0,2,35,0,No info,4174,LOW
Multiple carriers,27-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:00,15:30,27-03-2019,3:30 PM,0,8,30,1,No info,6148,LOW
Multiple carriers,27-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,9:15,19:15,27-05-2019,7:15 PM,0,10,0,1,No info,9149,LOW
Multiple carriers,27-03-2019,Delhi,Cochin,DEL?HYD?MAA?COK,HYD,MAA,NoSTOP,NoSTOP,13:05,21:20,27-03-2019,9:20 PM,0,8,15,2,No info,6128,LOW
IndiGo,27-03-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,16:10,22:20,27-03-2019,10:20 PM,0,6,10,1,No info,6412,LOW
Multiple carriers,18-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,8:00,21:00,18-05-2019,9:00 PM,0,13,0,1,No info,8073,LOW
Jet Airways,24-06-2019,Delhi,Cochin,DEL?COK,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:00,14:15,24-06-2019,2:15 PM,0,3,15,0,In-flight meal not included,4256,LOW
Air India,12-05-2019,Kolkata,Banglore,CCU?DEL?AMD?BLR,DEL,AMD,NoSTOP,NoSTOP,10:00,13-05-2019 5:25,13-5-2019,5:25 AM,0,19,25,2,No info,14634,MEDIUM
Multiple carriers,21-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,13:00,21:00,21-05-2019,9:00 PM,0,8,0,1,No info,14067,MEDIUM
IndiGo,06-05-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:30,18:05,06-05-2019,6:05 PM,0,2,35,0,No info,4804,LOW
SpiceJet,21-04-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,17:10,19:40,21-04-2019,7:40 PM,0,2,30,0,No info,4911,LOW
IndiGo,09-06-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,16:10,22:30,09-06-2019,10:30 PM,0,6,20,1,No info,6412,LOW
SpiceJet,15-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,8:20,10:35,15-06-2019,10:35 AM,0,2,15,0,No check-in baggage included,3543,LOW
IndiGo,06-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:35,14:00,06-06-2019,2:00 PM,0,2,25,0,No info,3858,LOW
Air India,15-05-2019,Kolkata,Banglore,CCU?BBI?BOM?BLR,BBI,BOM,NoSTOP,NoSTOP,12:00,16-05-2019 7:55,16-5-2019,7:55 AM,0,19,55,2,No info,9941,LOW
Jet Airways,09-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,8:20,11:20,09-04-2019,11:20 AM,0,3,0,0,No info,7229,LOW
GoAir,03-03-2019,Banglore,New Delhi,BLR?GOI?DEL,GOI,NoSTOP,NoSTOP,NoSTOP,15:45,20:15,03-03-2019,8:15 PM,0,4,30,1,No info,8352,LOW
Jet Airways,12-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,9:35,22:05,12-05-2019,10:05 PM,0,12,30,1,No info,14151,MEDIUM
Multiple carriers,06-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,17:45,07-06-2019 1:30,7-6-2019,1:30 AM,0,7,45,1,No info,6795,LOW
IndiGo,03-05-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,20:20,22:55,03-05-2019,10:55 PM,0,2,35,0,No info,4804,LOW
Air India,06-06-2019,Delhi,Cochin,DEL?TRV?COK,TRV,NoSTOP,NoSTOP,NoSTOP,5:15,07-06-2019 6:50,7-6-2019,6:50 AM,1,25,35,1,No info,6587,LOW
GoAir,03-04-2019,Delhi,Cochin,DEL?AMD?COK,AMD,NoSTOP,NoSTOP,NoSTOP,7:25,13:35,03-04-2019,1:35 PM,0,6,10,1,No info,4106,LOW
Air India,18-04-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,14:15,16:45,18-04-2019,4:45 PM,0,2,30,0,No info,5510,LOW
Jet Airways,09-05-2019,Delhi,Cochin,DEL?JAI?BOM?COK,JAI,BOM,NoSTOP,NoSTOP,9:40,19:00,09-05-2019,7:00 PM,0,9,20,2,No info,15129,HIGH
Jet Airways,09-05-2019,Delhi,Cochin,DEL?JAI?BOM?COK,JAI,BOM,NoSTOP,NoSTOP,9:40,10-05-2019 4:25,10-5-2019,4:25 AM,0,18,45,2,In-flight meal not included,13029,MEDIUM
IndiGo,15-06-2019,Delhi,Cochin,DEL?MAA?COK,MAA,NoSTOP,NoSTOP,NoSTOP,7:15,12:30,15-06-2019,12:30 PM,0,5,15,1,No info,6582,LOW
Multiple carriers,27-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,17:45,28-06-2019 1:30,28-6-2019,1:30 AM,0,7,45,1,In-flight meal not included,5797,LOW
Jet Airways,12-06-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,20:25,13-06-2019 10:55,13-6-2019,10:55 AM,0,14,30,1,No info,12692,MEDIUM
SpiceJet,27-03-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,8:20,10:35,27-03-2019,10:35 AM,0,2,15,0,No check-in baggage included,3332,LOW
Air India,09-06-2019,Kolkata,Banglore,CCU?BBI?BOM?BLR,BBI,BOM,NoSTOP,NoSTOP,12:00,10-06-2019 7:55,10-6-2019,7:55 AM,0,19,55,2,No info,10151,MEDIUM
IndiGo,06-04-2019,Delhi,Cochin,DEL?MAA?COK,MAA,NoSTOP,NoSTOP,NoSTOP,2:00,7:25,06-04-2019,7:25 AM,0,5,25,1,No info,5046,LOW
Air India,15-06-2019,Delhi,Cochin,DEL?BLR?COK,BLR,NoSTOP,NoSTOP,NoSTOP,6:10,23:00,15-06-2019,11:00 PM,0,16,50,1,No info,8907,LOW
Air India,06-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,21:05,23:55,06-05-2019,11:55 PM,0,2,50,0,No info,5228,LOW
IndiGo,03-03-2019,Delhi,Cochin,DEL?LKO?COK,LKO,NoSTOP,NoSTOP,NoSTOP,5:35,10:10,03-03-2019,10:10 AM,0,4,35,1,No info,13753,MEDIUM
Jet Airways,09-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,8:55,21:20,09-03-2019,9:20 PM,0,12,25,1,In-flight meal not included,11087,MEDIUM
Jet Airways,18-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,14:05,23:35,18-05-2019,11:35 PM,0,9,30,1,No info,14781,MEDIUM
IndiGo,06-05-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:30,14:05,06-05-2019,2:05 PM,0,2,35,0,No info,5224,LOW
Jet Airways,06-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:15,18:10,06-05-2019,6:10 PM,0,2,55,0,In-flight meal not included,3702,LOW
IndiGo,18-03-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,19:05,20:30,18-03-2019,8:30 PM,0,1,25,0,No info,2754,LOW
Air Asia,24-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:10,13:55,24-05-2019,1:55 PM,0,2,45,0,No info,3383,LOW
Air India,15-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,13:20,16:10,15-04-2019,4:10 PM,0,2,50,0,No info,5228,LOW
IndiGo,27-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,20:25,28-05-2019 1:30,28-5-2019,1:30 AM,0,5,5,1,No info,5054,LOW
Jet Airways,18-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,8:55,19:10,18-03-2019,7:10 PM,0,10,15,1,No info,13555,MEDIUM
Multiple carriers,01-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,17:00,02-06-2019 1:30,2-6-2019,1:30 AM,0,8,30,1,No info,7408,LOW
IndiGo,24-05-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,14:25,16:55,24-05-2019,4:55 PM,0,2,30,0,No info,5224,LOW
IndiGo,01-03-2019,Banglore,New Delhi,BLR?HYD?DEL,HYD,NoSTOP,NoSTOP,NoSTOP,12:10,17:05,01-03-2019,5:05 PM,0,4,55,1,No info,9694,LOW
IndiGo,21-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,17:10,22-03-2019 1:35,22-3-2019,1:35 AM,0,8,25,1,No info,7318,LOW
IndiGo,21-05-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,7:35,12:10,21-05-2019,12:10 PM,0,4,35,1,No info,5054,LOW
Jet Airways,01-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,18:55,22:00,01-05-2019,10:00 PM,0,3,5,0,In-flight meal not included,4030,LOW
Jet Airways,06-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,8:00,18:25,06-03-2019,6:25 PM,0,10,25,1,No info,16736,HIGH
Air India,18-03-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,19:30,20:45,18-03-2019,8:45 PM,0,1,15,0,No info,2050,LOW
Air India,12-03-2019,Mumbai,Hyderabad,BOM?AMD?ISK?HYD,AMD,ISK,NoSTOP,NoSTOP,1:35,14:50,12-03-2019,2:50 PM,0,13,15,2,No info,9977,LOW
Jet Airways,06-06-2019,Delhi,Cochin,DEL?JAI?BOM?COK,JAI,BOM,NoSTOP,NoSTOP,5:30,07-06-2019 4:25,7-6-2019,4:25 AM,0,22,55,2,In-flight meal not included,10368,MEDIUM
IndiGo,09-03-2019,Delhi,Cochin,DEL?AMD?COK,AMD,NoSTOP,NoSTOP,NoSTOP,7:45,13:40,09-03-2019,1:40 PM,0,5,55,1,No info,6755,LOW
Jet Airways,15-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:15,18:10,15-05-2019,6:10 PM,0,2,55,0,In-flight meal not included,3502,LOW
Air India,24-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,10:00,12:45,24-06-2019,12:45 PM,0,2,45,0,No info,6961,LOW
Jet Airways,09-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:50,18:45,09-04-2019,6:45 PM,0,2,55,0,In-flight meal not included,4544,LOW
SpiceJet,18-05-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,14:55,17:25,18-05-2019,5:25 PM,0,2,30,0,No check-in baggage included,3841,LOW
Jet Airways,06-03-2019,Mumbai,Hyderabad,BOM?DED?DEL?HYD,DED,DEL,NoSTOP,NoSTOP,14:20,07-03-2019 16:50,7-3-2019,4:50 PM,1,26,30,2,No info,24115,VERY HIGH
Vistara,24-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,7:10,25-05-2019 9:05,25-5-2019,9:05 AM,1,25,55,1,No info,9502,LOW
Air India,01-04-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,6:20,7:40,01-04-2019,7:40 AM,0,1,20,0,No info,3100,LOW
SpiceJet,15-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,5:55,8:35,15-04-2019,8:35 AM,0,2,40,0,No check-in baggage included,4319,LOW
IndiGo,01-05-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,20:05,21:40,01-05-2019,9:40 PM,0,1,35,0,No info,2227,LOW
SpiceJet,24-03-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,22:20,25-03-2019 0:40,25-3-2019,12:40 AM,0,2,20,0,No info,5831,LOW
IndiGo,09-06-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,21:25,10-06-2019 0:05,10-6-2019,12:05 AM,0,2,40,0,No info,4804,LOW
IndiGo,06-06-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,7:35,12:10,06-06-2019,12:10 PM,0,4,35,1,No info,5458,LOW
Jet Airways,09-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,18:55,22:00,09-06-2019,10:00 PM,0,3,5,0,In-flight meal not included,7229,LOW
Jet Airways,06-06-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,18:55,07-06-2019 10:05,7-6-2019,10:05 AM,0,15,10,1,No info,14571,MEDIUM
SpiceJet,09-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,21:10,10-06-2019 0:05,10-6-2019,12:05 AM,0,2,55,0,No check-in baggage included,3919,LOW
Multiple carriers,09-03-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,7:05,16:10,09-03-2019,4:10 PM,0,9,5,1,No info,6916,LOW
Jet Airways,27-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,13:00,28-03-2019 4:25,28-3-2019,4:25 AM,0,15,25,1,In-flight meal not included,6960,LOW
Jet Airways,06-03-2019,Banglore,New Delhi,BLR?MAA?DEL,MAA,NoSTOP,NoSTOP,NoSTOP,9:45,14:25,06-03-2019,2:25 PM,0,4,40,1,No info,16757,HIGH
IndiGo,06-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,16:00,07-03-2019 1:35,7-3-2019,1:35 AM,0,9,35,1,No info,14871,MEDIUM
IndiGo,12-06-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,7:35,12:10,12-06-2019,12:10 PM,0,4,35,1,No info,5054,LOW
